country,year_month,True Values,Ensemble Prediction,XGBoost Lower CI,XGBoost Upper CI,LSTM Lower CI,LSTM Upper CI,NN Lower CI,NN Upper CI,Ensemble Lower CI,Ensemble Upper CI,Residuals,XGBoost Prediction,LSTM Prediction,NN Prediction,Ensemble Error
Afghanistan,2024-02-01,3455.0,3147.0,1943.0,4293.0,2382.0,3593.0,2118.0,3047.0,1957.0,4334.0,308.0,3119.0,2987.0,2583.0,308.0
Albania,2024-02-01,70.0,35.0,49.0,60.0,21.0,34.0,2.0,67.0,2.0,67.0,35.0,55.0,27.0,35.0,35.0
Bangladesh,2024-02-01,95.0,68.0,23.0,117.0,30.0,63.0,3.0,63.0,6.0,131.0,27.0,68.0,46.0,33.0,27.0
Cameroon,2024-02-01,30.0,27.0,22.0,38.0,18.0,31.0,1.0,53.0,1.0,53.0,3.0,31.0,25.0,27.0,3.0
Democratic Republic of the Congo,2024-02-01,30.0,41.0,22.0,42.0,20.0,38.0,-9.0,90.0,-9.0,90.0,-11.0,31.0,30.0,41.0,-11.0
Egypt,2024-02-01,630.0,563.0,417.0,711.0,479.0,692.0,316.0,551.0,397.0,728.0,67.0,565.0,584.0,434.0,67.0
Eritrea,2024-02-01,255.0,180.0,117.0,265.0,106.0,198.0,69.0,171.0,95.0,263.0,75.0,191.0,152.0,121.0,75.0
Georgia,2024-02-01,55.0,33.0,55.0,86.0,22.0,49.0,7.0,60.0,7.0,60.0,22.0,70.0,35.0,33.0,22.0
India,2024-02-01,15.0,13.0,2.0,17.0,16.0,31.0,-37.0,65.0,-37.0,65.0,2.0,8.0,23.0,13.0,2.0
Iran,2024-02-01,40.0,36.0,33.0,49.0,16.0,39.0,-15.0,84.0,-15.0,84.0,4.0,41.0,27.0,36.0,4.0
Iraq,2024-02-01,55.0,153.0,-56.0,260.0,91.0,291.0,49.0,248.0,-31.0,336.0,-98.0,103.0,191.0,147.0,-98.0
Pakistan,2024-02-01,165.0,106.0,40.0,181.0,76.0,147.0,24.0,120.0,15.0,194.0,59.0,109.0,111.0,74.0,59.0
Palestine,2024-02-01,215.0,334.0,51.0,543.0,125.0,484.0,95.0,457.0,76.0,592.0,-119.0,297.0,304.0,277.0,-119.0
Sierra Leone,2024-02-01,85.0,58.0,73.0,119.0,30.0,83.0,21.0,91.0,21.0,97.0,27.0,97.0,56.0,56.0,27.0
Somalia,2024-02-01,75.0,96.0,40.0,119.0,39.0,129.0,51.0,146.0,42.0,148.0,-21.0,80.0,85.0,99.0,-21.0
Syria,2024-02-01,885.0,1138.0,454.0,1687.0,438.0,1453.0,469.0,1202.0,450.0,1824.0,-253.0,1072.0,946.0,835.0,-253.0
TÃ¼rkiye,2024-02-01,310.0,381.0,286.0,388.0,281.0,480.0,214.0,343.0,281.0,480.0,-71.0,337.0,381.0,277.0,-71.0
Yemen,2024-02-01,105.0,101.0,72.0,139.0,71.0,136.0,44.0,122.0,49.0,154.0,4.0,105.0,104.0,82.0,4.0
