country,sex,age_group,year_month,True Values,Ensemble Prediction,XGBoost Lower CI,XGBoost Upper CI,LSTM Lower CI,LSTM Upper CI,NN Lower CI,NN Upper CI,Ensemble Lower CI,Ensemble Upper CI,Residuals,XGBoost Prediction,LSTM Prediction,NN Prediction
Afghanistan,female,adult,2024-02-01,530.0,518.0,384.0,596.0,398.0,637.0,283.0,432.0,398.0,637.0,12.0,490.0,518.0,358.0
Afghanistan,female,minor,2024-02-01,1020.0,963.0,659.0,1266.0,692.0,1022.0,619.0,893.0,659.0,1266.0,57.0,963.0,857.0,756.0
Afghanistan,male,adult,2024-02-01,695.0,655.0,484.0,825.0,517.0,830.0,407.0,597.0,484.0,825.0,40.0,655.0,673.0,502.0
Afghanistan,male,minor,2024-02-01,1210.0,1011.0,416.0,1606.0,775.0,1104.0,809.0,1125.0,416.0,1606.0,199.0,1011.0,939.0,967.0
Albania,female,adult,2024-02-01,15.0,8.0,12.0,14.0,5.0,8.0,-0.0,16.0,-0.0,16.0,7.0,13.0,6.0,8.0
Albania,female,minor,2024-02-01,15.0,9.0,13.0,15.0,5.0,8.0,1.0,17.0,1.0,17.0,6.0,14.0,7.0,9.0
Albania,male,adult,2024-02-01,30.0,13.0,18.0,23.0,6.0,10.0,4.0,21.0,4.0,21.0,17.0,21.0,8.0,13.0
Albania,male,minor,2024-02-01,10.0,5.0,6.0,8.0,5.0,8.0,-3.0,13.0,-3.0,13.0,5.0,7.0,6.0,5.0
Bangladesh,female,adult,2024-02-01,0.0,-1.0,-0.0,1.0,4.0,7.0,-6.0,4.0,-6.0,4.0,1.0,0.0,5.0,-1.0
Bangladesh,female,minor,2024-02-01,0.0,-1.0,-0.0,1.0,4.0,7.0,-6.0,4.0,-6.0,4.0,1.0,0.0,5.0,-1.0
Bangladesh,male,adult,2024-02-01,95.0,68.0,24.0,113.0,18.0,42.0,21.0,45.0,24.0,113.0,27.0,68.0,30.0,33.0
Bangladesh,male,minor,2024-02-01,0.0,2.0,-1.0,2.0,4.0,7.0,-6.0,10.0,-6.0,10.0,-2.0,0.0,6.0,2.0
Cameroon,female,adult,2024-02-01,10.0,9.0,8.0,13.0,5.0,8.0,2.0,16.0,2.0,16.0,1.0,11.0,6.0,9.0
Cameroon,female,minor,2024-02-01,0.0,3.0,3.0,5.0,4.0,7.0,-2.0,9.0,-2.0,9.0,-3.0,4.0,6.0,3.0
Cameroon,male,adult,2024-02-01,20.0,11.0,8.0,15.0,5.0,9.0,4.0,18.0,4.0,18.0,9.0,12.0,7.0,11.0
Cameroon,male,minor,2024-02-01,0.0,4.0,3.0,5.0,4.0,7.0,-3.0,10.0,-3.0,10.0,-4.0,4.0,6.0,4.0
Democratic Republic of the Congo,female,adult,2024-02-01,10.0,11.0,6.0,12.0,5.0,10.0,-1.0,24.0,-1.0,24.0,-1.0,9.0,8.0,11.0
Democratic Republic of the Congo,female,minor,2024-02-01,10.0,10.0,6.0,11.0,5.0,9.0,-2.0,22.0,-2.0,22.0,0.0,8.0,7.0,10.0
Democratic Republic of the Congo,male,adult,2024-02-01,10.0,12.0,7.0,12.0,5.0,11.0,-1.0,24.0,-1.0,24.0,-2.0,9.0,8.0,12.0
Democratic Republic of the Congo,male,minor,2024-02-01,0.0,8.0,3.0,7.0,5.0,8.0,-5.0,20.0,-5.0,20.0,-8.0,5.0,7.0,8.0
Egypt,female,adult,2024-02-01,5.0,1.0,1.0,3.0,4.0,7.0,-9.0,11.0,-9.0,11.0,4.0,2.0,5.0,1.0
Egypt,female,minor,2024-02-01,0.0,0.0,-0.0,1.0,4.0,7.0,-10.0,10.0,-10.0,10.0,0.0,1.0,5.0,0.0
Egypt,male,adult,2024-02-01,355.0,329.0,267.0,390.0,290.0,405.0,205.0,302.0,267.0,390.0,26.0,329.0,347.0,254.0
Egypt,male,minor,2024-02-01,270.0,233.0,149.0,317.0,181.0,273.0,130.0,228.0,149.0,317.0,37.0,233.0,227.0,179.0
Eritrea,female,adult,2024-02-01,90.0,62.0,38.0,86.0,24.0,54.0,24.0,52.0,38.0,86.0,28.0,62.0,39.0,38.0
Eritrea,female,minor,2024-02-01,10.0,6.0,8.0,14.0,4.0,8.0,-2.0,13.0,-2.0,13.0,4.0,11.0,6.0,6.0
Eritrea,male,adult,2024-02-01,135.0,105.0,60.0,149.0,74.0,128.0,48.0,91.0,60.0,149.0,30.0,105.0,101.0,70.0
Eritrea,male,minor,2024-02-01,20.0,7.0,11.0,16.0,4.0,8.0,-1.0,15.0,-1.0,15.0,13.0,13.0,6.0,7.0
Georgia,female,adult,2024-02-01,25.0,16.0,24.0,35.0,7.0,20.0,9.0,23.0,9.0,23.0,9.0,29.0,14.0,16.0
Georgia,female,minor,2024-02-01,0.0,3.0,5.0,12.0,5.0,8.0,-3.0,10.0,-3.0,10.0,-3.0,9.0,6.0,3.0
Georgia,male,adult,2024-02-01,30.0,13.0,22.0,30.0,6.0,13.0,6.0,19.0,6.0,19.0,17.0,26.0,9.0,13.0
Georgia,male,minor,2024-02-01,0.0,1.0,4.0,9.0,4.0,8.0,-5.0,8.0,-5.0,8.0,-1.0,6.0,6.0,1.0
India,female,adult,2024-02-01,0.0,2.0,-0.0,1.0,4.0,7.0,-10.0,14.0,-10.0,14.0,-2.0,0.0,5.0,2.0
India,female,minor,2024-02-01,0.0,1.0,-0.0,1.0,4.0,6.0,-10.0,13.0,-10.0,13.0,-1.0,0.0,5.0,1.0
India,male,adult,2024-02-01,15.0,9.0,2.0,14.0,4.0,12.0,-7.0,25.0,-7.0,25.0,6.0,8.0,8.0,9.0
India,male,minor,2024-02-01,0.0,1.0,-0.0,1.0,4.0,6.0,-10.0,13.0,-10.0,13.0,-1.0,0.0,5.0,1.0
Iran,female,adult,2024-02-01,10.0,7.0,7.0,10.0,4.0,7.0,-6.0,19.0,-6.0,19.0,3.0,9.0,6.0,7.0
Iran,female,minor,2024-02-01,0.0,4.0,3.0,5.0,4.0,7.0,-10.0,17.0,-10.0,17.0,-4.0,4.0,5.0,4.0
Iran,male,adult,2024-02-01,20.0,18.0,18.0,25.0,4.0,17.0,7.0,29.0,7.0,29.0,2.0,21.0,10.0,18.0
Iran,male,minor,2024-02-01,10.0,7.0,5.0,9.0,4.0,8.0,-6.0,19.0,-6.0,19.0,3.0,7.0,6.0,7.0
Iraq,female,adult,2024-02-01,10.0,33.0,2.0,14.0,14.0,53.0,12.0,47.0,14.0,53.0,-23.0,8.0,33.0,29.0
Iraq,female,minor,2024-02-01,10.0,35.0,1.0,19.0,14.0,56.0,12.0,49.0,14.0,56.0,-25.0,10.0,35.0,30.0
Iraq,male,adult,2024-02-01,20.0,46.0,-31.0,122.0,35.0,97.0,15.0,81.0,-31.0,122.0,-26.0,46.0,66.0,48.0
Iraq,male,minor,2024-02-01,15.0,39.0,-28.0,105.0,28.0,85.0,10.0,71.0,-28.0,105.0,-24.0,39.0,57.0,40.0
Pakistan,female,adult,2024-02-01,0.0,-1.0,-1.0,2.0,4.0,7.0,-10.0,7.0,-10.0,7.0,1.0,0.0,5.0,-1.0
Pakistan,female,minor,2024-02-01,0.0,-1.0,-1.0,2.0,4.0,7.0,-10.0,7.0,-10.0,7.0,1.0,0.0,5.0,-1.0
Pakistan,male,adult,2024-02-01,155.0,96.0,33.0,159.0,64.0,115.0,42.0,85.0,33.0,159.0,59.0,96.0,90.0,64.0
Pakistan,male,minor,2024-02-01,10.0,12.0,9.0,18.0,4.0,18.0,2.0,21.0,2.0,21.0,-2.0,13.0,11.0,12.0
Palestine,female,adult,2024-02-01,15.0,22.0,12.0,38.0,2.0,43.0,9.0,45.0,2.0,43.0,-7.0,25.0,22.0,27.0
Palestine,female,minor,2024-02-01,15.0,23.0,10.0,41.0,0.0,30.0,5.0,40.0,5.0,40.0,-8.0,26.0,15.0,23.0
Palestine,male,adult,2024-02-01,175.0,222.0,41.0,403.0,95.0,305.0,55.0,305.0,41.0,403.0,-47.0,222.0,200.0,180.0
Palestine,male,minor,2024-02-01,10.0,67.0,-12.0,61.0,28.0,106.0,26.0,67.0,28.0,106.0,-57.0,24.0,67.0,47.0
Sierra Leone,female,adult,2024-02-01,25.0,18.0,24.0,36.0,7.0,23.0,9.0,27.0,9.0,27.0,7.0,30.0,15.0,18.0
Sierra Leone,female,minor,2024-02-01,10.0,3.0,6.0,7.0,4.0,8.0,-4.0,10.0,-4.0,10.0,7.0,7.0,6.0,3.0
Sierra Leone,male,adult,2024-02-01,30.0,28.0,26.0,55.0,14.0,43.0,14.0,37.0,14.0,43.0,2.0,41.0,28.0,26.0
Sierra Leone,male,minor,2024-02-01,20.0,9.0,17.0,21.0,5.0,9.0,2.0,17.0,2.0,17.0,11.0,19.0,7.0,9.0
Somalia,female,adult,2024-02-01,5.0,20.0,2.0,17.0,6.0,23.0,8.0,31.0,8.0,31.0,-15.0,10.0,15.0,20.0
Somalia,female,minor,2024-02-01,20.0,22.0,14.0,32.0,10.0,33.0,15.0,35.0,10.0,33.0,-2.0,23.0,22.0,25.0
Somalia,male,adult,2024-02-01,10.0,19.0,7.0,17.0,6.0,22.0,7.0,31.0,7.0,31.0,-9.0,12.0,14.0,19.0
Somalia,male,minor,2024-02-01,40.0,35.0,17.0,53.0,17.0,51.0,21.0,49.0,17.0,53.0,5.0,35.0,34.0,35.0
Syria,female,adult,2024-02-01,100.0,152.0,83.0,160.0,80.0,223.0,71.0,129.0,80.0,223.0,-52.0,122.0,152.0,100.0
Syria,female,minor,2024-02-01,130.0,175.0,93.0,222.0,85.0,264.0,81.0,154.0,85.0,264.0,-45.0,158.0,175.0,117.0
Syria,male,adult,2024-02-01,490.0,590.0,171.0,1008.0,159.0,637.0,222.0,696.0,171.0,1008.0,-100.0,590.0,398.0,459.0
Syria,male,minor,2024-02-01,165.0,221.0,107.0,297.0,114.0,329.0,95.0,223.0,114.0,329.0,-56.0,202.0,221.0,159.0
T端rkiye,female,adult,2024-02-01,35.0,40.0,35.0,58.0,24.0,56.0,25.0,44.0,24.0,56.0,-5.0,46.0,40.0,34.0
T端rkiye,female,minor,2024-02-01,20.0,19.0,13.0,33.0,8.0,30.0,14.0,31.0,8.0,30.0,1.0,23.0,19.0,22.0
T端rkiye,male,adult,2024-02-01,225.0,292.0,209.0,251.0,234.0,349.0,154.0,229.0,234.0,349.0,-67.0,230.0,292.0,191.0
T端rkiye,male,minor,2024-02-01,30.0,30.0,29.0,46.0,15.0,45.0,21.0,39.0,15.0,45.0,0.0,38.0,30.0,30.0
Yemen,female,adult,2024-02-01,10.0,6.0,5.0,8.0,5.0,8.0,-1.0,14.0,-1.0,14.0,4.0,7.0,6.0,6.0
Yemen,female,minor,2024-02-01,0.0,4.0,0.0,4.0,4.0,7.0,-5.0,12.0,-5.0,12.0,-4.0,2.0,6.0,4.0
Yemen,male,adult,2024-02-01,95.0,86.0,65.0,122.0,58.0,114.0,53.0,82.0,58.0,114.0,9.0,93.0,86.0,67.0
Yemen,male,minor,2024-02-01,0.0,5.0,2.0,5.0,4.0,7.0,-3.0,14.0,-3.0,14.0,-5.0,3.0,6.0,5.0
